velocity change table:
step euler symplectic_euler midpoint backwards_euler analytic 
0.50000 -2.65018e+00 -2.65018e+00 7.66835e+00 5.32487e+00 1.09959e+00 
0.25000 -1.32509e+00 -1.32509e+00 1.25454e+00 1.11884e+01 1.16960e+00 
0.12500 -6.62546e-01 -6.62546e-01 -1.76371e-02 4.99196e+01 6.21932e-02 
0.06250 -3.31273e-01 -3.31273e-01 -1.70046e-01 -6.34143e-03 -1.54076e-01 
0.03125 -1.65636e-01 -1.65636e-01 -1.25330e-01 -7.74585e-02 -1.22974e-01 
0.01562 -8.28182e-02 -8.28182e-02 -7.27415e-02 -6.11714e-02 -7.24254e-02 
0.00781 -4.14091e-02 -4.14091e-02 -3.88899e-02 -3.61501e-02 -3.88491e-02 
0.00391 -2.07046e-02 -2.07046e-02 -2.00748e-02 -1.94153e-02 -2.00696e-02 
0.00195 -1.03523e-02 -1.03523e-02 -1.01948e-02 -1.00336e-02 -1.01942e-02 
0.00098 -5.17614e-03 -5.17614e-03 -5.13678e-03 -5.09693e-03 -5.13669e-03 
displacement table:
step euler symplectic_euler midpoint backwards_euler analytic 
0.50000 -4.12742e-01 -1.73783e+00 -1.07529e+00 2.24969e+00 4.11890e-02 
0.25000 -2.06371e-01 -5.37644e-01 -3.72007e-01 2.59073e+00 -1.44870e-01 
0.12500 -1.03185e-01 -1.86004e-01 -1.44594e-01 6.13676e+00 -1.14627e-01 
0.06250 -5.15927e-02 -7.22972e-02 -6.19450e-02 -5.19890e-02 -5.83184e-02 
0.03125 -2.57963e-02 -3.09725e-02 -2.83844e-02 -2.82169e-02 -2.79456e-02 
0.01562 -1.28982e-02 -1.41922e-02 -1.35452e-02 -1.38540e-02 -1.34915e-02 
0.00781 -6.44909e-03 -6.77259e-03 -6.61084e-03 -6.73151e-03 -6.60420e-03 
0.00391 -3.22454e-03 -3.30542e-03 -3.26498e-03 -3.30038e-03 -3.26416e-03 
0.00195 -1.61227e-03 -1.63249e-03 -1.62238e-03 -1.63187e-03 -1.62228e-03 
0.00098 -8.06136e-04 -8.11191e-04 -8.08663e-04 -8.11113e-04 -8.08650e-04 
