velocity change table:;;;;;;;;;;;;;
step;euler;e_i;e_i / e_{1+1};symplectic_euler;e_i;e_i / e_{1+1};midpoint;e_i;e_i / e_{1+1};backwards_euler;e_i;e_i / e_{1+1};analytic
0.500000;-2.650180;3.749770;;-2.650180;3.749770;;7.668350;-6.568760;;0.691804;0.407786;;1.099590
0.250000;-1.325090;2.494690;1.503101;-1.325090;2.494690;1.503101;1.254540;-0.084940;77.334118;0.528852;0.640748;0.636422;1.169600
0.125000;-0.662546;0.724739;3.442190;-0.662546;0.724739;3.442190;-0.017637;0.079830;-1.064007;0.244789;-0.182596;-3.509106;0.062193
0.062500;-0.331273;0.177197;4.090020;-0.331273;0.177197;4.090020;-0.170046;0.015970;4.998766;-0.006341;-0.147735;1.235972;-0.154076
0.031250;-0.165636;0.042662;4.153509;-0.165636;0.042662;4.153509;-0.125330;0.002356;6.778438;-0.077459;-0.045516;3.245808;-0.122974
0.015630;-0.082818;0.010393;4.104957;-0.082818;0.010393;4.104957;-0.072742;0.000316;7.453338;-0.061171;-0.011254;4.044384;-0.072425
0.007810;-0.041409;0.002560;4.059688;-0.041409;0.002560;4.059688;-0.038890;0.000041;7.747549;-0.036150;-0.002699;4.169692;-0.038849
0.003910;-0.020705;0.000635;4.031496;-0.020705;0.000635;4.031496;-0.020075;0.000005;7.846154;-0.019415;-0.000654;4.125019;-0.020070
0.001950;-0.010352;0.000158;4.016445;-0.010352;0.000158;4.016445;-0.010195;0.000001;8.666667;-0.010034;-0.000161;4.074097;-0.010194
0.000980;-0.005176;0.000039;4.007605;-0.005176;0.000039;4.007605;-0.005137;0.000000;6.666667;-0.005097;-0.000040;4.039235;-0.005137
displacement table:;;;;;;;;;;;;;
step;euler;e_i;e_i / e_{1+1};symplectic_euler;e_i;e_i / e_{1+1};midpoint;e_i;e_i / e_{1+1};backwards_euler;e_i;e_i / e_{1+1};analytic
0.500000;-0.412742;0.453931;;-1.737830;1.779019;;-1.075290;1.116479;;-0.066840;0.108029;;0.041189
0.250000;-0.206371;0.061501;7.380872;-0.537644;0.392774;4.529371;-0.372007;0.227137;4.915443;-0.074158;-0.070712;-1.527721;-0.144870
0.125000;-0.103185;-0.011442;-5.375022;-0.186004;0.071377;5.502809;-0.144594;0.029967;7.579571;-0.072587;-0.042040;1.682016;-0.114627
0.062500;-0.051593;-0.006726;1.701236;-0.072297;0.013979;5.106089;-0.061945;0.003627;8.263111;-0.051989;-0.006329;6.642051;-0.058318
0.031250;-0.025796;-0.002149;3.129251;-0.030973;0.003027;4.618190;-0.028384;0.000439;8.264813;-0.028217;0.000271;-23.329893;-0.027946
0.015630;-0.012898;-0.000593;3.622619;-0.014192;0.000701;4.319823;-0.013545;0.000054;8.171322;-0.013854;0.000363;0.748414;-0.013492
0.007810;-0.006449;-0.000155;3.825027;-0.006773;0.000168;4.161173;-0.006611;0.000007;8.087349;-0.006732;0.000127;2.847380;-0.006604
0.003910;-0.003225;-0.000040;3.914942;-0.003305;0.000041;4.081192;-0.003265;0.000001;8.097561;-0.003300;0.000036;3.514909;-0.003264
0.001950;-0.001612;-0.000010;3.958042;-0.001632;0.000010;4.041136;-0.001622;0.000000;8.200000;-0.001632;0.000010;3.776851;-0.001622
0.000980;-0.000806;-0.000003;3.981702;-0.000811;0.000003;4.018103;-0.000809;0.000000;7.692308;-0.000811;0.000002;3.893626;-0.000809
;;;;;;;;;;;;;
Only convergence: Velocity;;;;;;;;;;;;;
step;euler;symplectic_euler;midpoint;backwards_euler;;;;;;;;;
0.500000;;;;;;;;;;;;;
0.250000;1.503101;1.503101;77.334118;0.636422;;;;;;;;;
0.125000;3.442190;3.442190;-1.064007;-3.509106;;;;;;;;;
0.062500;4.090020;4.090020;4.998766;1.235972;;;;;;;;;
0.031250;4.153509;4.153509;6.778438;3.245808;;;;;;;;;
0.015630;4.104957;4.104957;7.453338;4.044384;;;;;;;;;
0.007810;4.059688;4.059688;7.747549;4.169692;;;;;;;;;
0.003910;4.031496;4.031496;7.846154;4.125019;;;;;;;;;
0.001950;4.016445;4.016445;8.666667;4.074097;;;;;;;;;
0.000980;4.007605;4.007605;6.666667;4.039235;;;;;;;;;
;;;;;;;;;;;;;
displacement table:;;;;;;;;;;;;;
step;euler;symplectic_euler;midpoint;backwards_euler;;;;;;;;;
0.500000;;;;;;;;;;;;;
0.250000;7.380872;4.529371;4.915443;-1.527721;;;;;;;;;
0.125000;-5.375022;5.502809;7.579571;1.682016;;;;;;;;;
0.062500;1.701236;5.106089;8.263111;6.642051;;;;;;;;;
0.031250;3.129251;4.618190;8.264813;-23.329893;;;;;;;;;
0.015630;3.622619;4.319823;8.171322;0.748414;;;;;;;;;
0.007810;3.825027;4.161173;8.087349;2.847380;;;;;;;;;
0.003910;3.914942;4.081192;8.097561;3.514909;;;;;;;;;
0.001950;3.958042;4.041136;8.200000;3.776851;;;;;;;;;
0.000980;3.981702;4.018103;7.692308;3.893626;;;;;;;;;
